timestamp,step_name,tier,mode,n_records,estimated_usd,actual_usd,confirmed_by
2026-08-20T12:01:02.908393+00:00,llm-classify.validate-criteria,flash,primary+forced_choice,28,0.5,,gavinfarrell
2026-08-20T12:18:28.156661+00:00,llm-classify.validate-criteria,flash,primary+forced_choice,28,0.5,,gavinfarrell
2026-08-20T12:23:34.159933+00:00,llm-classify.calibrate,flash,primary,8,0.2,,gavinfarrell
2026-08-20T12:24:09.180063+00:00,llm-classify.calibrate,pro,primary,8,0.2,,gavinfarrell
2026-08-20T12:44:30.078770+00:00,llm-classify.calibrate,flash,primary,8,0.2,,gavinfarrell
2026-08-20T12:45:28.449425+00:00,llm-classify.calibrate,pro,primary,8,0.2,,gavinfarrell
2026-08-20T14:05:51.613836+00:00,llm-classify.classify,flash,primary,1000,1.6,,gavinfarrell
2026-08-20T14:58:16.304246+00:00,llm-classify.classify,flash,primary,84,0.1,,gavinfarrell
2026-08-20T15:19:05.414514+00:00,llm-classify.classify,pro,primary,1000,0.6,,gavinfarrell
2026-08-20T15:24:32.460031+00:00,llm-classify.calibrate-fallback,flash,forced_guess,7,0.2,,gavinfarrell
2026-08-20T15:24:49.522797+00:00,llm-classify.run-fallback,flash,forced_guess,7,0.02,,gavinfarrell
2026-08-21T14:03:29.834773+00:00,llm-classify.calibrate,flash,primary,10,0.2,,gavinfarrell
2026-08-21T14:30:12.154586+00:00,llm-classify.classify,flash,primary,7600,7.6,,gavinfarrell
2026-08-21T14:32:04.253079+00:00,llm-classify.classify,flash,primary,8,0.01,,gavinfarrell
2026-08-27T00:52:43.087508+00:00,llm-classify.classify,flash,primary,2,0.01,,gavinfarrell
2026-08-27T22:39:26.550398+00:00,llm-classify.calibrate,flash,primary,8,0.2,,gavinfarrell
2026-08-27T22:45:51.885850+00:00,llm-classify.classify,flash,primary,1000,2.18,,gavinfarrell
2026-08-27T23:07:08.453171+00:00,llm-classify.classify,flash,primary,1000,2.1,,gavinfarrell
2026-08-27T23:25:38.125566+00:00,llm-classify.classify,flash,primary,50000,104.0,,gavinfarrell
2026-08-27T23:39:27.009156+00:00,llm-classify.classify,flash,primary,150000,104.0,,gavinfarrell
2026-08-28T00:03:31.701971+00:00,llm-classify.classify,flash,primary,150000,311.0,,gavinfarrell
2026-08-28T00:16:08.918531+00:00,llm-classify.classify,flash,primary,150000,311.0,,gavinfarrell
2026-08-28T00:33:45.603661+00:00,llm-classify.classify,flash,primary,180000,311.0,,gavinfarrell
2026-08-28T00:47:12.206519+00:00,llm-classify.classify,flash,primary,146784,311.0,,gavinfarrell
2026-08-28T10:02:36.558107+00:00,llm-classify.classify,flash,primary,52,2.0,,gavinfarrell
2026-08-28T10:36:43.967606+00:00,llm-classify.classify,flash,primary,5825,12.07,,gavinfarrell
2026-09-03T20:14:48.169484+00:00,llm-classify.classify,flash,primary,13499,4.1,,gavinfarrell
