batch_id,tier,mode,record_id,prompt_tokens,completion_tokens,total_tokens,timestamp
calibrate_flash_primary_20260820T122322,flash,primary,83d82c3bd6a75f4cb0dcab280c48e55ccc731f00,6878,55,6933,2026-08-20T12:23:23.809830+00:00
calibrate_flash_primary_20260820T122322,flash,primary,6054b814a63f38aadb79c5225ef47b470f6b1085,6836,48,6884,2026-08-20T12:23:25.014725+00:00
calibrate_flash_primary_20260820T122322,flash,primary,c40f88be316cfb475744417094d83ab0d156048b,6756,52,6808,2026-08-20T12:23:26.267186+00:00
calibrate_flash_primary_20260820T122322,flash,primary,6a5511ac7e6b991072885536224e6b86f4455be0,6756,55,6811,2026-08-20T12:23:27.717054+00:00
calibrate_flash_primary_20260820T122322,flash,primary,0ab14cc27510a31fcf860f726680f09881fbc46c,6867,58,6925,2026-08-20T12:23:29.352900+00:00
calibrate_flash_primary_20260820T122322,flash,primary,91d758c3515d666d815b8f31dfcb7ed1743b2a0b,6890,64,6954,2026-08-20T12:23:31.079676+00:00
calibrate_flash_primary_20260820T122322,flash,primary,2e5139e51fe3d195500028b48a2e99bb9ad80a2b,6976,59,7035,2026-08-20T12:23:32.616208+00:00
calibrate_flash_primary_20260820T122322,flash,primary,71496d458028ce232085061eb45caac1176b83fc,6486,68,6554,2026-08-20T12:23:34.152422+00:00
calibrate_pro_primary_20260820T122346,pro,primary,83d82c3bd6a75f4cb0dcab280c48e55ccc731f00,6957,125,7082,2026-08-20T12:23:48.794418+00:00
calibrate_pro_primary_20260820T122346,pro,primary,6054b814a63f38aadb79c5225ef47b470f6b1085,6915,107,7022,2026-08-20T12:23:50.740645+00:00
calibrate_pro_primary_20260820T122346,pro,primary,c40f88be316cfb475744417094d83ab0d156048b,6835,95,6930,2026-08-20T12:23:52.349510+00:00
calibrate_pro_primary_20260820T122346,pro,primary,6a5511ac7e6b991072885536224e6b86f4455be0,6835,134,6969,2026-08-20T12:23:54.734206+00:00
calibrate_pro_primary_20260820T122346,pro,primary,0ab14cc27510a31fcf860f726680f09881fbc46c,6946,173,7119,2026-08-20T12:23:57.295247+00:00
calibrate_pro_primary_20260820T122346,pro,primary,91d758c3515d666d815b8f31dfcb7ed1743b2a0b,6969,316,7285,2026-08-20T12:24:00.874953+00:00
calibrate_pro_primary_20260820T122346,pro,primary,2e5139e51fe3d195500028b48a2e99bb9ad80a2b,7055,400,7455,2026-08-20T12:24:04.974381+00:00
calibrate_pro_primary_20260820T122346,pro,primary,71496d458028ce232085061eb45caac1176b83fc,6565,332,6897,2026-08-20T12:24:09.172334+00:00
calibrate_flash_primary_20260820T124405,flash,primary,83d82c3bd6a75f4cb0dcab280c48e55ccc731f00,6957,150,7107,2026-08-20T12:44:07.876036+00:00
calibrate_flash_primary_20260820T124405,flash,primary,6054b814a63f38aadb79c5225ef47b470f6b1085,6915,109,7024,2026-08-20T12:44:09.828765+00:00
calibrate_flash_primary_20260820T124405,flash,primary,c40f88be316cfb475744417094d83ab0d156048b,6835,220,7055,2026-08-20T12:44:12.578986+00:00
calibrate_flash_primary_20260820T124405,flash,primary,6a5511ac7e6b991072885536224e6b86f4455be0,6835,269,7104,2026-08-20T12:44:16.067986+00:00
calibrate_flash_primary_20260820T124405,flash,primary,0ab14cc27510a31fcf860f726680f09881fbc46c,6946,235,7181,2026-08-20T12:44:19.243068+00:00
calibrate_flash_primary_20260820T124405,flash,primary,91d758c3515d666d815b8f31dfcb7ed1743b2a0b,6969,162,7131,2026-08-20T12:44:21.883752+00:00
calibrate_flash_primary_20260820T124405,flash,primary,2e5139e51fe3d195500028b48a2e99bb9ad80a2b,7055,245,7300,2026-08-20T12:44:25.254812+00:00
calibrate_flash_primary_20260820T124405,flash,primary,71496d458028ce232085061eb45caac1176b83fc,6565,400,6965,2026-08-20T12:44:30.068935+00:00
calibrate_pro_primary_20260820T124444,pro,primary,83d82c3bd6a75f4cb0dcab280c48e55ccc731f00,6957,173,7130,2026-08-20T12:44:49.144529+00:00
calibrate_pro_primary_20260820T124444,pro,primary,6054b814a63f38aadb79c5225ef47b470f6b1085,6915,122,7037,2026-08-20T12:44:53.342416+00:00
calibrate_pro_primary_20260820T124444,pro,primary,c40f88be316cfb475744417094d83ab0d156048b,6835,101,6936,2026-08-20T12:44:56.613481+00:00
