pmid,license,is_open_access
11093259,,N
11093258,,N
11084231,,N
11112396,,N
11112398,,N
11112255,,N
11092926,,N
11056040,,N
11112260,,N
11104543,,N
11084227,,N
11056037,,N
11101824,,N
11110133,,N
11102292,cc by,Y
10998589,,N
10998586,,N
10998587,,N
11110131,,N
11084405,,N
11103715,,N
11044039,,N
10998588,,N
11110126,,N
11089858,,N
11110132,,N
11110127,,N
11080851,,N
11025540,,N
11032040,,N
11032037,,N
11032032,,N
10936748,,N
11043877,,N
10936749,,N
11055591,,N
11032041,,N
11032038,,N
11011104,,N
11070805,,N
10936751,,N
11056920,,N
10936750,,N
11050852,,N
10978911,,N
11091765,,N
11030095,,N
10998383,cc by,Y
10942891,,N
11091764,,N
11016027,,N
11021519,,N
11012132,,N
11001511,,N
10964792,cc by,Y
10953246,,N
10953238,,N
10938067,,N
10953242,,N
10861926,,N
11084712,,N
10957007,,N
11084714,,N
10992751,,N
10953247,,N
11014667,,N
10981539,,N
10953243,,N
10943273,,N
10933237,,N
10916734,,N
10916729,,N
10821940,,N
10906611,,N
11010117,,N
10943274,,N
10916733,,N
10916730,,N
10906612,,N
10987519,,N
10923198,,N
10916735,,N
10916732,,N
10837909,,N
10987520,,N
10987515,,N
10987510,,N
10916736,,N
10916731,,N
10916265,,N
10906613,,N
10987513,,N
10906614,,N
10884247,,N
10955517,,N
10916728,,N
10906615,,N
11011788,,N
10814908,,N
11011794,,N
11011792,,N
10892239,,N
10814907,,N
10797298,,N
10892809,,N
10882204,,N
11021543,,N
10900831,,N
10972327,,N
10896187,,N
10891785,,N
10814906,,N
10963863,,N
10767617,,N
10871263,,N
10773348,,N
10767613,,N
10850757,,N
10847365,,N
10847362,,N
10824301,,N
10794697,,N
10767614,,N
10905811,,N
10842979,,N
10767615,cc by-nc-nd,N
10699680,,N
10892349,,N
10842978,,N
10813722,,N
10767616,cc by-nc-nd,N
10938787,,N
10939343,,N
10816981,,N
10770830,,N
10764306,,N
10758142,,N
11088137,,N
10939344,,N
10805112,,N
10770834,,N
10939346,,N
10776884,,N
10937966,,N
10800613,,N
10740258,,N
10770836,,N
11021339,,N
10937968,,N
10844879,,N
10935758,,N
10780791,,N
10709901,,N
10937362,,N
10829402,,N
10779110,,N
10761142,,N
10738667,,N
10675717,,N
10675714,,N
10689346,,N
10935763,,N
10770867,,N
10737746,,N
10675716,,N
10935762,,N
10881370,,N
10786078,,N
10716876,,N
10675715,,N
10786076,,N
10675895,,N
10798709,,N
10680354,,N
10648847,,N
10798708,,N
10685569,,N
10679337,,N
10648849,,N
10648846,,N
